"case","model","min_MSE","q25","mean_MSE","median_MSE","q75","max_MSE","sd_MSE"
"bimodal_snorm","ideal",0.0100840403123973,0.0108972128060192,0.0109762813866984,0.0110347384588757,0.0111002525367514,0.0111616115910831,0.000178211578263705
"bimodal_snorm","mixed",0.270146060051405,0.50531672600058,0.683791920265063,0.646354378055752,0.821909086861055,1.43145808125852,0.229097559266433
"bimodal_snorm","simple",0.271920785227157,0.532613732549946,0.710194034400794,0.674365057012205,0.852356702913118,1.4706497495163,0.241021044789951
"double_snorm","ideal",0.0101967531249703,0.0108844612857032,0.0109588771028426,0.0110191199005486,0.0110921859192412,0.0111598701033014,0.000190077768795667
"double_snorm","mixed",0.295231773218726,0.50566132729341,0.656726813378593,0.641471683214565,0.760184287946712,1.6287002528006,0.211394765998815
"double_snorm","simple",0.295953646115217,0.523526186450667,0.678426820832982,0.663067820927697,0.791525499632783,1.63226442403495,0.216473556187854
"double_unif_narrow","ideal",0.00987222046457011,0.0108982995847984,0.0109808890019216,0.0110450225949398,0.0111134266699032,0.011161545757417,0.000189092870145902
"double_unif_narrow","mixed",1.69914976853082,2.32921970241909,2.50341492667855,2.4954368376538,2.68132052353546,3.13955201739599,0.265805054748338
"double_unif_narrow","simple",1.7110377307663,2.35186448306235,2.53307076302297,2.53132090717435,2.72432346154235,3.14443484034186,0.265549118475913
"double_unif_wide","ideal",0.0099389839355806,0.0108814022341332,0.0109693789389203,0.0110153254281422,0.0111130968434605,0.0111604554643326,0.000179722229047019
"double_unif_wide","mixed",13.1435145046809,17.6925600581346,19.1067237535698,19.0513698120109,20.4808724282776,24.1180847053432,1.99952875962865
"double_unif_wide","simple",13.1936295604671,18.0533853285502,19.4066478317202,19.4733675420291,20.7876049499333,24.411031674389,2.03989835717776
"exp_norm","ideal",0.0104286412911699,0.0109298254897656,0.0109946420529507,0.0110426691928251,0.011104633701795,0.0111607555430109,0.000149697718877901
"exp_norm","mixed",19.7243914092137,35.5838521874516,48.6058200933475,46.1564754592499,56.0907957927095,101.729703562754,17.0103563782767
"exp_norm","simple",19.8409940880085,36.7722399403021,50.6217830563881,47.8646469452742,59.01412455059,113.712718469912,17.9582729092676
"hidden_impact","ideal",0.0102229804361917,0.0109051068110642,0.0109793277418901,0.0110371427071255,0.011113718311609,0.0111615013222561,0.000180914723543866
"hidden_impact","mixed",0.0102229804361922,0.0109051068110641,0.01097932774189,0.0110371427071255,0.0111137183116089,0.0111615013222554,0.000180914723543877
"hidden_impact","simple",0.745168472631848,2.10421291066694,2.70051234841963,2.49822555990804,3.21558078454271,6.68043343409473,0.86402922342502
"linear_corr_snorm_rho0.5","ideal",0.0102386508602774,0.0109089093533997,0.0109806456510725,0.0110354497206606,0.0111000743611126,0.0111587614431176,0.000169892087385881
"linear_corr_snorm_rho0.5","mixed",0.183365449707472,0.307943155064045,0.409316535850559,0.389961451006065,0.485435494272055,0.969163144450415,0.131522130432492
"linear_corr_snorm_rho0.5","simple",0.281765221342603,0.511485572303613,0.684152896289171,0.647410631569393,0.821393419416572,1.90838837988189,0.244678102617407
"linear_corr_snorm_rho0.9","ideal",0.00987774036598697,0.0108813807439065,0.0109565990501795,0.0110299801426691,0.0110908423320551,0.0111616581776503,0.000200383807069103
"linear_corr_snorm_rho0.9","mixed",0.0369259618758424,0.0653924116881286,0.0793353322365928,0.0780327368657586,0.0927026302140013,0.13358996060742,0.0186179033155123
"linear_corr_snorm_rho0.9","simple",0.308020231467092,0.523034176866559,0.69750905912646,0.662211139019599,0.826872294432745,1.87222539541915,0.242850055425914
"linear_corr_snormrho0.2","ideal",0.00997465255121682,0.0108744898009474,0.0109544023932034,0.0110251275806144,0.011093709861731,0.011161172484093,0.000200784526343421
"linear_corr_snormrho0.2","mixed",0.239120054120885,0.458469138942591,0.599608190781258,0.563118482924853,0.71035657391986,1.43938646913917,0.203581748770324
"linear_corr_snormrho0.2","simple",0.249514939760354,0.519413478684716,0.669388546975033,0.62983462439561,0.802378333570959,1.52398561365828,0.22188785930663
"nonlinear_corr_a0.5b0.2","ideal",0.010159309842437,0.0109573336777806,0.0110133591977718,0.0110585800420901,0.0111241854891196,0.0111608459368692,0.000161023923873384
"nonlinear_corr_a0.5b0.2","mixed",0.133164291819431,0.190240607130668,0.246313603181164,0.229834495556284,0.282842323787688,0.506907315247181,0.074037032085668
"nonlinear_corr_a0.5b0.2","simple",0.288090899180412,0.520920374497333,0.677528533053652,0.660574404510016,0.791816310966506,1.87768987283843,0.225247158069666
"nonlinear_corr_a1.5b1","ideal",0.0103853422073386,0.0109291463662686,0.0109926734488268,0.0110360653535032,0.0111014525838618,0.0111615848527953,0.000149607326915171
"nonlinear_corr_a1.5b1","mixed",0.0329268289798119,0.0475602844108766,0.0583823431546555,0.0549462292286771,0.0644510885133143,0.134946531283317,0.0169465556471329
"nonlinear_corr_a1.5b1","simple",0.0413628762641114,0.100240439812822,0.149144938752028,0.129757612164322,0.175840020631842,0.605591069722637,0.0811637919025684
"nonlinear_corr_a1b0.5","ideal",0.0101897011104596,0.0109270387801299,0.0110000104669177,0.011060018678791,0.0111252562876213,0.0111611729379524,0.000174811187410487
"nonlinear_corr_a1b0.5","mixed",0.0232151644824097,0.0603647217092698,0.0907191062538111,0.0811120925015845,0.115741396951489,0.263080014053603,0.041228214786569
"nonlinear_corr_a1b0.5","simple",0.118390505586592,0.16770458286016,0.193827827799466,0.192057044094521,0.216003191393213,0.315777991842443,0.0387070044847161
"norm_exp","ideal",0.0100327966198146,0.0108838664682747,0.0109646622292016,0.0110218061625088,0.011117042324544,0.0111603141045741,0.000200463666526142
"norm_exp","mixed",0.0955676897597782,0.224004821646053,0.482320348307844,0.374467771785237,0.578058042253067,2.72601413760445,0.401333638447127
"norm_exp","simple",0.0955829661233057,0.22915405613793,0.543559686294382,0.39671330562065,0.64578812230029,2.85853401360613,0.466063250493211
"pois_norm","ideal",0.00992329919955934,0.0109117981844884,0.0109846411995916,0.0110396452328738,0.011104848255635,0.0111600912434615,0.000175586928638385
"pois_norm","mixed",20.7189718720618,34.69986174754,46.0754088156256,43.1535567525047,53.6622866816764,116.196954552644,16.5581086851437
"pois_norm","simple",20.8347324935126,37.2506117639811,48.1849033762213,45.5970546224674,55.4463426617181,117.584691205701,17.2347139396744
"pois_snorm","ideal",0.0101483146464986,0.0108974563108036,0.0109840325263498,0.011022716852214,0.0111033120861733,0.0111616527086646,0.000158174851777268
"pois_snorm","mixed",0.26770481851247,0.51474942037669,0.687148560759834,0.654123716941378,0.834146716885689,1.98703466455739,0.24366738243248
"pois_snorm","simple",0.278006909201474,0.52399381260083,0.709991074472795,0.669926101821778,0.873948564842422,1.99248969650475,0.250933905833763
"snorm_exp","ideal",0.0103152404762169,0.0109082007129134,0.0109774841941901,0.0110239214629154,0.0111155027411814,0.0111613555555574,0.000184531840115288
"snorm_exp","mixed",0.053522436968782,0.2195429764566,0.561486114494152,0.34639659855925,0.548212610167037,5.797473080729,0.731348473991817
"snorm_exp","simple",0.0535266972091717,0.230062790944578,0.644576593260168,0.381263784103778,0.633791099173316,7.5711701627973,0.894561767372879
"t_exp","ideal",0.0102144179239822,0.0109121361934655,0.0109769379071846,0.0110261156537331,0.011105516872265,0.0111613040610847,0.000176531838539847
"t_exp","mixed",0.0792889527639077,0.243112502931037,0.574912121941666,0.361970337525353,0.668272369447429,5.53663041037619,0.666420212623874
"t_exp","simple",0.0792931440898012,0.255199947040987,0.619456986599283,0.397257143276745,0.734868889207795,5.59626044665033,0.699358370403645
"t_norm","ideal",0.0101453751049913,0.0109053781355331,0.010985578660935,0.0110551982436784,0.0111215991736607,0.0111600772557563,0.000182478998073444
"t_norm","mixed",13.2653756004141,37.1473514544795,47.1987133530723,46.1937592609242,56.4841705349906,94.7339186068523,13.8444926695513
"t_norm","simple",13.6781322155966,38.9437277973007,48.7585293181821,47.446662254532,58.8556608159262,94.7339877003611,14.2061711589469
"t_snorm","ideal",0.0102399568407137,0.0109027543853676,0.0109881576376062,0.0110451873095453,0.0111110551369467,0.0111603740329218,0.000166209760235022
"t_snorm","mixed",0.212459180197618,0.512536824300148,0.67479433655972,0.658416290902884,0.802098269153433,1.36094975972872,0.212904419821863
"t_snorm","simple",0.214953409975318,0.52934351775735,0.700159910897598,0.689098420527903,0.840915444375233,1.44337448878989,0.224582034208152
