"case","iter","model","mse","intercept","b_X1","b_X2","b_X2sq","b_X1X2"
"double_snorm",1,"simple",0.614013862889648,1.09197437498057,1.09001803830913,0.328512962689395,NA,NA
"double_snorm",1,"ideal",0.0111080532126841,0.509009990082111,1.0082819711385,NA,0.599621826727258,NA
"double_snorm",1,"mixed",0.46701406247665,1.04600791104086,1.09774351494216,0.251600155314996,NA,0.387556435738204
"double_snorm",2,"simple",0.761395689502455,1.11498766859367,0.904643599909535,-0.1308286644926,NA,NA
"double_snorm",2,"ideal",0.011012984732185,0.503473165359789,0.992483220920012,NA,0.606001845953681,NA
"double_snorm",2,"mixed",0.754244981271991,1.11062798473244,0.904455476026364,-0.134859444179287,NA,-0.074244228803947
"double_snorm",3,"simple",0.582432058812242,1.08673024168147,0.974364335869053,-0.180036803115141,NA,NA
"double_snorm",3,"ideal",0.0111281326459959,0.51190875135661,1.00411486416611,NA,0.596816587520414,NA
"double_snorm",3,"mixed",0.52510936584117,1.06218894602281,0.964287192587172,-0.165024660246994,NA,0.265965037374923
"double_snorm",4,"simple",0.665244783680771,1.11722584989214,0.95848937497082,0.351178854621733,NA,NA
"double_snorm",4,"ideal",0.0110232064199468,0.511549872752667,1.00986545740936,NA,0.597099260554763,NA
"double_snorm",4,"mixed",0.563992261754079,1.04183238989906,0.985502710730214,0.312486792542346,NA,-0.271201083772122
"double_snorm",5,"simple",0.824212065816692,1.13343753580771,0.931814085104827,0.150703551584297,NA,NA
"double_snorm",5,"ideal",0.0107695197298204,0.505792446885938,0.981849154792463,NA,0.603805846744935,NA
"double_snorm",5,"mixed",0.764962264135712,1.13051720003268,0.953919556663424,0.158008730165092,NA,0.246694953881599
"double_snorm",6,"simple",0.825250206005488,1.12308344149216,0.854535891020268,-0.0256918822632033,NA,NA
"double_snorm",6,"ideal",0.0109027850484329,0.510140285423893,0.982147577989239,NA,0.598228980519894,NA
"double_snorm",6,"mixed",0.804536408057333,1.12103292485237,0.853808211716304,-0.0563278086256002,NA,-0.156148665314884
"double_snorm",7,"simple",0.839845850148302,1.17971471053819,0.954311596130982,0.0866367387232499,NA,NA
"double_snorm",7,"ideal",0.011056347028509,0.507559304521643,0.989727658864232,NA,0.602346743135837,NA
"double_snorm",7,"mixed",0.826345771160281,1.17657325186898,0.950091366783153,0.097069075158357,NA,-0.118230329750704
"double_snorm",8,"simple",0.662935932291795,1.1865071019997,1.12413252779759,0.00716182418164989,NA,NA
"double_snorm",8,"ideal",0.0106771352566045,0.525639091823994,0.99577612715573,NA,0.585057245590563,NA
"double_snorm",8,"mixed",0.660384073970628,1.18925758032576,1.12687748931684,0.017120647398519,NA,-0.0516385002752604
"double_snorm",9,"simple",0.431627985617928,0.918792198515723,1.05573911254513,-0.386318653231722,NA,NA
"double_snorm",9,"ideal",0.0110827788526274,0.514368767749205,1.00248659818057,NA,0.592901542798079,NA
"double_snorm",9,"mixed",0.429802538405408,0.916467151349985,1.04413992066245,-0.375444528973675,NA,-0.052138255159639
"double_snorm",10,"simple",0.793855466037533,1.08940848861152,0.904295785612445,-0.0233484154419978,NA,NA
