"case","model","min_MSE","q25","mean_MSE","median_MSE","q75","max_MSE","sd_MSE"
"bimodal_snorm","ideal",0.00882946962038651,0.00954209375568442,0.00960131554762425,0.00965599160313555,0.00971146144057726,0.00976075568155737,0.000164510244512473
"bimodal_snorm","mixed",0.267982890406873,0.518571785466567,0.680951404930302,0.643288749701691,0.811213762620734,1.35610664458052,0.22940262232798
"bimodal_snorm","simple",0.26910981733801,0.533028002568089,0.707499521268563,0.67121188519381,0.841792432375364,1.4188570537731,0.241022945773787
"double_snorm","ideal",0.0090630763411893,0.00952719818382098,0.00959935557274872,0.00962770996584949,0.00970974961348741,0.00976056540424919,0.000138013797263691
"double_snorm","mixed",0.303583950810942,0.507423405078845,0.65667170656739,0.638719520532338,0.754582931813807,1.57256234043466,0.208259642392044
"double_snorm","simple",0.304110504865704,0.528414860316919,0.678769650843205,0.663389834231261,0.773115818208466,1.58281129966144,0.213759506135442
"double_unif_narrow","ideal",0.0090464747995524,0.00953329701115742,0.00959740952093475,0.00963727339030798,0.00970878229351292,0.00976127180556946,0.000147521175005081
"double_unif_narrow","mixed",1.67110674305481,2.34926305793042,2.5020976420815,2.49330041246233,2.67179222572902,3.19132370758303,0.264535910751998
"double_unif_narrow","simple",1.69318163715307,2.36560231916835,2.53149234756842,2.51699897136755,2.70307796771354,3.19452961323173,0.263781389248468
"double_unif_wide","ideal",0.00870492368969916,0.00952311890678183,0.00959654534291188,0.00964223712260732,0.00970880982805358,0.00976159174774506,0.000162287399633852
"double_unif_wide","mixed",13.0816194085264,17.689553496242,19.1051492152388,19.0809893961985,20.5138590288351,24.0980436245009,1.99210059424729
"double_unif_wide","simple",13.132146918106,18.0352179924377,19.4068081262579,19.4388023269241,20.8025018608178,24.406596437087,2.03157709546722
"exp_norm","ideal",0.00879522053178644,0.00952000423000362,0.00958498852433294,0.00963885200393667,0.00970363567328233,0.00976186504206903,0.000162317610267317
"exp_norm","mixed",19.5853234322369,35.5687864690381,48.5943857760285,45.9908681588684,56.304805597139,101.830090878999,17.0178756210475
"exp_norm","simple",19.6996627633288,36.8096729925027,50.6064293678649,47.9506332944836,58.9900245916798,114.076069774306,17.9657504585666
"hidden_impact","ideal",0.00848720445819538,0.00953689504551264,0.00959111730283315,0.00965214492463188,0.00971369802895864,0.00976290468327611,0.000181086818025197
"hidden_impact","mixed",0.00848720445819526,0.00953689504551239,0.00959111730283313,0.00965214492463191,0.0097136980289585,0.00976290468327666,0.000181086818025213
"hidden_impact","simple",0.749167030069088,2.09864037807997,2.69908699590489,2.50671917444502,3.1796921995924,6.63810858544946,0.862802362964821
"linear_corr_snorm_rho0.5","ideal",0.00888941852197647,0.00955786999084901,0.00960768069444696,0.00964801047713312,0.00971430663425228,0.0097619786615888,0.000148120181271195
"linear_corr_snorm_rho0.5","mixed",0.168802203974886,0.311849169120071,0.406673611370762,0.385689510213888,0.486624966120386,0.958407425475444,0.130456021282256
"linear_corr_snorm_rho0.5","simple",0.277414415833597,0.500221503743564,0.681197039920649,0.643532114336113,0.807585328677583,1.83777039674056,0.24119481077785
"linear_corr_snorm_rho0.9","ideal",0.008873420656074,0.00953244821940744,0.00959515759768833,0.00964962656162813,0.00972036756916826,0.00976193256130282,0.0001648788579977
"linear_corr_snorm_rho0.9","mixed",0.0453071959917938,0.0634701712292323,0.0774134912976269,0.0778554933887478,0.0886228972444644,0.13721926619352,0.0177878455917884
"linear_corr_snorm_rho0.9","simple",0.303307897197419,0.525078188059516,0.69594892080947,0.660481986838196,0.813825262193933,1.92764584488876,0.24418890154436
"linear_corr_snormrho0.2","ideal",0.00901858425527026,0.00953612033348132,0.00960391056960838,0.0096673852634286,0.00972333755578416,0.0097628784748799,0.000160949881132206
"linear_corr_snormrho0.2","mixed",0.239445936566089,0.447552911769448,0.597525837044013,0.558688462969907,0.697661829778934,1.42140081370432,0.203074629115118
"linear_corr_snormrho0.2","simple",0.242127526390384,0.518306612623363,0.667381100740401,0.640767073295493,0.802777780829365,1.51005445135325,0.221006713210664
"nonlinear_corr_a0.5b0.2","ideal",0.00892757738393338,0.00960735379020543,0.00964613798934277,0.00969448792262114,0.00973236785075444,0.00976284551631722,0.000140393654901968
"nonlinear_corr_a0.5b0.2","mixed",0.083150434259331,0.163420774227132,0.209251960188726,0.198752745558354,0.241720729768787,0.450653556418965,0.0626058165908035
"nonlinear_corr_a0.5b0.2","simple",0.279958301426275,0.501598161419738,0.668271734362955,0.64239714049567,0.779920373172852,1.85303572066799,0.223536911625619
"nonlinear_corr_a1.5b1","ideal",0.00837272318415411,0.00955113322218326,0.00960627256860934,0.00966678407789769,0.00972220423697892,0.00976308894959533,0.000175895666688677
